timedate,open,high,low,close,Volume_(BTC)
2015-02-17 13:00:00,239.02969071,240.11427572,237.26077299,237.26077299,282.08345724000003
2015-02-17 14:00:00,237.4829401,238.88771879,235.89503677,238.11097919,586.04248233
2015-02-17 15:00:00,239.41632704,241.10321155,238.79809438,239.76326025,1250.53421046
2015-02-17 16:00:00,239.94875573,244.87633471,239.53140219,244.87633471,1269.05487824
2015-02-17 17:00:00,245.31246883,246.97264497,244.28247846,244.88685299,1673.7322955300006
2015-02-17 18:00:00,245.03164472,245.03164472,241.94385968,243.18360123,1125.2655754299997
2015-02-17 19:00:00,242.76423598,244.32932106,242.61026303,243.75967506,1186.9051106000002
2015-02-17 20:00:00,243.76552256,243.76552256,240.18354767,240.95086957,1277.4815093099996
2015-02-17 21:00:00,240.76352555,241.54127041,238.76062934,241.53999656,2194.78202818
2015-02-17 22:00:00,241.61148030000004,242.96618279,241.61148030000004,242.22849743,941.7027812600003
2015-02-17 23:00:00,242.63707021,245.03692778,242.03700656,244.56904873,1119.33409248
2015-02-18 00:00:00,244.88444255,245.10836946,242.32778752,243.95807985,1508.5654332899996
2015-02-18 01:00:00,244.07288437,244.78219446,242.91269586,244.05556994,868.05839874
2015-02-18 02:00:00,243.90242278,244.52322925,243.74962712,244.49912506,290.80728409999995
2015-02-18 03:00:00,244.5,244.83369652,243.97579256,244.15868778,358.45808765999993
2015-02-18 04:00:00,244.20255559,244.70965217,243.79402155,244.45172537,349.30853801000006
2015-02-18 05:00:00,244.689225,245.77018113,244.53696121,244.94384071,431.78095401
2015-02-18 06:00:00,244.99490017,245.05743276,244.55408478,244.81760635,193.10177832000005
2015-02-18 07:00:00,244.59396693,244.59396693,241.64623519,242.53158879,746.2961781000001
2015-02-18 08:00:00,242.50571159999998,242.74834579,241.39133877,241.94073667,185.93561113999996
2015-02-18 09:00:00,242.13511129,242.58624,240.39566290000002,241.18,93.88900412000001
2015-02-18 10:00:00,241.89894286,243.47587024,241.79666667,242.75229122,90.60368588000003
2015-02-18 11:00:00,242.04060357,242.93728537,241.38,242.51626479,110.04522602000002
2015-02-18 12:00:00,242.49685,244.22344862,242.08407065,242.82452687,208.42254249
2015-02-18 13:00:00,242.91864662,242.91864662,240.89408121,242.2680597,273.57402371
