,timedate,open,high,low,close,Volume_(BTC),WeightedPrice,SMA5,SMA24,STOCHFFastK,STOCHFFastD,STOCHRSIFastK,STOCHRSIFastD,RSI,MACD,CCI,WILLR,TREND
0,2018-01-01 00:00:00,13863.643565,13863.643565,13560.369942,13582.078019,894.7575577599998,13668.697175333335,,,,,,,,,,,EITHER
1,2018-01-01 01:00:00,13604.469543,13668.039644,13341.170643,13372.970832,824.6833928899998,13460.727039666666,,,,,,,,,,,EITHER
2,2018-01-01 02:00:00,13347.377868,13487.975999,13338.319255,13436.202294,519.6884097499999,13420.832516,,,,,,,,,,,EITHER
3,2018-01-01 03:00:00,13445.644682,13667.340144999998,13410.421049,13457.522188,630.1691110999999,13511.761127333333,,,,,,,,,,,EITHER
4,2018-01-01 04:00:00,13478.621226,13640.336763,13396.112124,13619.939159,474.10893723,13552.129348666667,-4.32695749704647,,,,,,,,,,EITHER
5,2018-01-01 05:00:00,13619.105106,13619.105106,13467.756329,13508.009439,439.85041025999993,13531.623624666667,-3.909423598667003,,,,,,,,,,EITHER
6,2018-01-01 06:00:00,13508.002648,13797.998939,13417.718801,13797.998939,502.14087576,13671.238893,-7.911015049581493,,100.0,68.35788164347287,,,,,,,EITHER
7,2018-01-01 07:00:00,13797.995459,13888.895685,13580.018815,13628.718451,444.90614719,13699.210983666666,-7.1144122150752365,,47.20253381179679,66.22246939685128,,,,,,,EITHER
8,2018-01-01 08:00:00,13598.814422,13674.001221,13450.584719,13474.82909,412.82997557000016,13533.138343333334,5.34772984741689,,15.973943172994753,54.392158994930504,,,,,,,EITHER
9,2018-01-01 09:00:00,13470.877347999998,13638.70221,13460.733712,13599.540187,137.17103437,13566.325369666665,2.609492962383516,,38.58877465644095,33.92175054707749,,,,,,,EITHER
10,2018-01-01 10:00:00,13596.946794999998,13599.858154,13491.857383,13569.700455000002,116.90535570000004,13553.805330666668,4.43303921439636,,32.25575344651278,28.93949042531615,,,,,,,EITHER
11,2018-01-01 11:00:00,13560.816977,13567.05416,13192.848282,13279.561029,430.90515165999983,13346.487823666665,12.13740311374734,,12.457879538988776,27.767469213980828,,,,,-173.358950825311,-87.54212046101122,EITHER
12,2018-01-01 12:00:00,13289.026697,13339.976855,13225.11121,13234.45,239.78661107,13266.512688333334,12.292151740773454,,8.646256653126237,17.78662987954259,,,39.59799162073489,,-178.86128343032883,-94.02314873660983,EITHER
13,2018-01-01 13:00:00,13241.727793,13241.727793,13055.298199,13102.4818,527.708117,13133.169264000002,16.768358941304072,,8.08763740227335,9.730591198129448,,,36.45697052960078,,-183.27288761110174,-94.33976208032867,EITHER
14,2018-01-01 14:00:00,13152.595059,13260.596596,12958.290436,13260.596596,803.5986654499999,13159.827876000001,9.746904269861933,,47.11991447175651,21.284602842385357,,,42.42615134901979,,-128.49984663411254,-67.51510263617693,EITHER
15,2018-01-01 15:00:00,13257.994399,13384.72649,13187.002717,13252.778728,522.0859369100001,13274.83597833333,-3.6944234956192625,,48.374809534478736,34.52745380283619,,,42.212261673171355,,-64.87454288212439,-68.35518687258124,EITHER
16,2018-01-01 16:00:00,13247.38366,13253.295189,13050.297437,13080.662842,527.2873842299998,13128.085156,4.406793744272797,,28.696543092953505,41.39708903306291,,,37.65316447680094,,-98.74181712145486,-86.8502347121405,EITHER
17,2018-01-01 17:00:00,13128.677249,13237.660251,13128.677249,13139.59899,379.10508414,13168.645496666666,-0.10797306168779251,,42.51717280922058,39.8628418122176,,,40.07099923962081,,-71.9262388540391,-80.51713611170474,EITHER
18,2018-01-01 18:00:00,13130.666866,13306.451583,13114.476104,13189.979717,536.68025926,13203.635801333332,-1.4344196837503813,,54.33154134758056,41.84841908325154,94.47957858761906,58.35462663232104,42.16266235971569,,-52.05082882529155,-75.10337694216027,EITHER
19,2018-01-01 19:00:00,13189.970303,13342.034264,13165.033847,13330.266694,415.52669624,13279.111601666666,-6.095635719889124,,83.71559064277851,60.188101599859884,100.0,85.0081268730426,47.706885472155214,,-11.076104766634947,-48.02701513014087,EITHER
20,2018-01-01 20:00:00,13345.488008,13535.677421,13345.488008,13466.338906,569.08775561,13449.168111666668,-15.693141330156623,,85.71459118924045,74.5872410598665,100.0,98.15985952920634,52.52259242712879,,83.88715309539371,-25.332204789271998,EITHER
21,2018-01-01 21:00:00,13442.016538,13730.854536,13442.016538,13565.387981,815.0655489799999,13579.419685,-18.07613909286872,,73.15503813734992,80.86173998978963,100.0,99.99999999999999,55.75793638710874,,151.97974927923192,-21.417841574569746,EITHER
22,2018-01-01 22:00:00,13564.841007,13675.128738999998,13515.637125,13538.104794,448.33348189,13576.290219333334,-11.795678693076708,,68.72866862414817,75.86609931691284,91.7703342537333,97.25677808457776,54.63909077736528,,146.37081079093463,-24.949352681544436,EITHER
23,2018-01-01 23:00:00,13535.023983,13535.023983,13455.007786000002,13470.367723,442.66208599000015,13486.799830666665,-0.9430401630426726,-5.3581853171587905,53.963010179007206,65.28223898016843,51.1206572654476,80.96366383972695,51.82263561665529,,83.13172980498372,-33.71717803092337,UP
24,2018-01-02 00:00:00,13482.046031999998,13962.260929,13482.046031999998,13827.874954,1060.40571583,13757.393971666666,-13.5394367532251,-24.746981593618138,78.21143399387353,66.96770426567629,100.0,80.96366383972695,62.848696993976304,,148.17488766011624,-13.385450661845214,EITHER
25,2018-01-02 01:00:00,13827.774973,13886.901333000002,13673.348419,13673.348419,1187.78172408,13744.532723666669,-9.512727866196691,-22.83543791722993,44.4660019409993,58.88014870462667,44.4795002911129,65.2000525188535,56.72697261907908,,115.6184363226436,-28.77699215409112,EITHER
26,2018-01-02 02:00:00,13638.512909,13698.273609,13441.958029,13550.109489,1808.64527915,13563.447042333333,3.5640737728025873,-9.003096375137837,20.78624970185652,47.821228545576446,4.286289585935126,49.58859662568267,52.295244537210216,,46.251159673842814,-45.19385300129967,EITHER
27,2018-01-02 03:00:00,13523.21208,13523.21208,13311.321498,13370.284467,850.7892616700004,13401.606015,13.020019613846614,2.766818339514417,9.058134473343971,24.770128705399927,0.0,16.255263292349337,46.51119788284163,,-16.580194197518125,-64.91229826555382,DOWN
28,2018-01-02 04:00:00,13372.959414,13399.2419,13030.084052,13185.447668,1314.8098314800004,13204.92454,23.406463467541833,16.076701873745193,16.666752826996007,15.503712334065497,0.0,1.4287631953117028,41.37928317529596,,-98.49035439895673,-83.333247173004,EITHER
29,2018-01-02 05:00:00,13173.346566,13242.876233,13150.006701,13205.98812,464.42462529,13199.623684666667,14.735494727875167,15.548584306054716,20.529939334871973,15.418275545070648,5.041612406722057,1.6805374689073462,42.1530541904389,,-103.24052413717659,-81.12975419792569,UP
30,2018-01-02 06:00:00,13194.008304,13414.776071,13158.249159,13367.990162,479.99867209999985,13313.671797333334,1.6715839888358983,5.71402459172443,50.5703967474607,29.255696303109556,61.13419799313244,22.058603466618163,48.05266860714246,,-64.23447395465445,-63.75085905504606,EITHER
